Etablissement;Code_Guichet;Nom_Guichet;Rue;Complement_adresse;Ville;Code_Postal;Horaires;Infos_Complementaires;Raison_Sociale;Url_site;coordonnees_gps;ouverture_lundi;ouverture_mardi;ouverture_mercredi;ouverture_jeudi;ouverture_vendredi;ouverture_samedi;ouverture_dimanche;ouverture_lundi_matin;fermeture_lundi_matin;ouverture_lundi_apresmidi;fermeture_lundi_apresmidi;ouverture_mardi_matin;fermeture_mardi_matin;ouverture_mardi_apresmidi;fermeture_mardi_apresmidi;ouverture_mercredi_matin;fermeture_mercredi_matin;ouverture_mercredi_apresmidi;fermeture_mercredi_apresmidi;ouverture_jeudi_matin;fermeture_jeudi_matin;ouverture_jeudi_apresmidi;fermeture_jeudi_apresmidi;ouverture_vendredi_matin;fermeture_vendredi_matin;ouverture_vendredi_apresmidi;fermeture_vendredi_apresmidi;ouverture_samedi_matin;fermeture_samedi_matin;ouverture_samedi_apresmidi;fermeture_samedi_apresmidi;ouverture_dimanche_matin;fermeture_dimanche_matin;ouverture_dimanche_apresmidi;fermeture_dimanche_apresmidi
13807;00681;BREST PONANT BANQUE PRIVEE;8, rue Saint Saens;;BREST;29200;Lu0900123014001800Ma0900123014001800Me0900123014001800Je0900123015301800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;48.391306,-4.4833;Lu0900123014001800;Ma0900123014001800;Me0900123014001800;Je0900123015301800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1530;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
17807;00618;ST SULPICE LA POINTE;7, pl du Grand Rond;;ST SULPICE LA POINTE;81370;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;Sur rendez-vous les après-midi :  mardi-mercredi-vendredi de 13h30 à 17h35 et le jeudi de 14h30 à 17h35;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.773111,1.687346;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
16607;00274;NIMES VICTOR HUGO;40, bd Victor Hugo;;NIMES;30000;Lu0000000000000000Ma0830123013301730Me0830123013301730Je0830123015001730Ve0830123013301730Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.837012,4.356596;Lu0000000000000000;Ma0830123013301730;Me0830123013301730;Je0830123015001730;Ve0830123013301730;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1330;1730;0830;1230;1330;1730;0830;1230;1500;1730;0830;1230;1330;1730;0830;1245;0000;0000;0000;0000;0000;0000
10107;00332;NANGIS;40, rue du Général Leclerc;;NANGIS;77370;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.556293,3.011471;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
10107;00335;VILLEPARISIS;5, pl du Marché;;VILLEPARISIS;77270;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.95116,2.601545;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;00621;BEAUVOIR SUR MER;14 ter, Grand Place;;BEAUVOIR SUR MER;85230;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;Votre agence est ouverte uniquement sur rendez-vous l'après-midi.;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;46.915775,-2.043075;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
13807;00623;ILE D''YEU;23, quai Carnot;;ILE D''YEU;85350;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;46.725591,-2.350023;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
10107;00337;MAROMME;144, rue des Martyrs de la Résistance;;MAROMME;76150;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;uniquement sur RDV les après-midi;BRED-Banque Populaire;https://www.bred.fr/;49.481877,1.042463;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
10107;00338;HARFLEUR;3, pl Victor Hugo;;HARFLEUR;76700;Lu0000000000000000Ma0845123013301800Me0845123013301800Je0945123013301800Ve0845123013301800Sa0900123000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;49.506223,0.198808;Lu0000000000000000;Ma0845123013301800;Me0845123013301800;Je0945123013301800;Ve0845123013301800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0845;1230;1330;1800;0845;1230;1330;1800;0945;1230;1330;1800;0845;1230;1330;1800;0900;1230;0000;0000;0000;0000;0000;0000
10107;00340;COULOMMIERS;8, pl Saint Denis;;COULOMMIERS;77120;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.806769,3.079898;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;10896;LA ROCHE SUR YON PROFESSIONNELS;1 place de la Vendée;;LA ROCHE SUR YON;85000;Lu0900123014001800Ma0900123014001800Me0900123014001800Je0900123015301800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;46.669959,-1.432245;Lu0900123014001800;Ma0900123014001800;Me0900123014001800;Je0900123015301800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1530;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
17807;00652;CASTRES MELOU;50, rte de Toulouse;;CASTRES;81100;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.593565,2.217968;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
17807;00653;ALBI STRASBOURG;2, bd Alsace Lorraine;;ALBI;81000;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;Ouverture sur RDV :  Les Mardi Mercredi et Vendredi de 13:30 à 17:35  Le Jeudi de 14:30 à 17:35;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.935424,2.145872;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
16607;00322;AGDE CAYRETS;Les Grands Cayrets;Bd Maurice Pacull;AGDE;34300;Lu0000000000000000Ma0830123013451745Me0830123013451745Je0830123015151745Ve0830123013451745Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.303857,3.473289;Lu0000000000000000;Ma0830123013451745;Me0830123013451745;Je0830123015151745;Ve0830123013451745;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1345;1745;0830;1230;1345;1745;0830;1230;1515;1745;0830;1230;1345;1745;0830;1245;0000;0000;0000;0000;0000;0000
10107;00345;CRECY LA CHAPELLE;19, pl du Marché;;CRECY LA CHAPELLE;77580;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;uniquement sur RDV les après-midi;BRED-Banque Populaire;https://www.bred.fr/;48.857073,2.909159;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;10943;ST JEAN DE MONTS;44 rue Charles de Gaulle;;SAINT-JEAN-DE-MONTS;85160;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;Votre agence est ouverte uniquement sur rendez-vous l'après-midi.;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;46.793157,-2.060144;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
17807;00656;LA PRIMAUBE;21, ave de Rodez;;LA PRIMAUBE;12450;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;44.294933,2.558527;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
16607;00327;ALES ROCADE;584, ave de Croupillac;;ALES;30100;Lu0900123013301730Ma0900123013301730Me0900123013301730Je0900123015001730Ve0900123013301730Sa0000000000000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;44.133645,4.104653;Lu0900123013301730;Ma0900123013301730;Me0900123013301730;Je0900123015001730;Ve0900123013301730;Sa0000000000000000;Di0000000000000000;0900;1230;1330;1730;0900;1230;1330;1730;0900;1230;1330;1730;0900;1230;1500;1730;0900;1230;1330;1730;0000;0000;0000;0000;0000;0000;0000;0000
10107;00346;EVREUX;11, rue de Grenoble;;EVREUX;27000;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;49.026162,1.149303;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
10107;00347;CAEN REPUBLIQUE;22, rue de Strasbourg;;CAEN;14000;Lu0000000000000000Ma0845123013301800Me0845123013301800Je0945123013301800Ve0845123013301800Sa0900123013301600Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;49.182038,-0.363503;Lu0000000000000000;Ma0845123013301800;Me0845123013301800;Je0945123013301800;Ve0845123013301800;Sa0900123013301600;Di0000000000000000;0000;0000;0000;0000;0845;1230;1330;1800;0845;1230;1330;1800;0945;1230;1330;1800;0845;1230;1330;1800;0900;1230;1330;1600;0000;0000;0000;0000
10107;00348;ROUEN JEANNE D'ARC;25, rue Jeanne d'Arc;;ROUEN;76000;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;49.441618,1.090194;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
10107;00349;LE HAVRE CENTRE;122, bd de Strasbourg;;LE HAVRE;76600;Lu0900123013301800Ma0845123013301800Me0945123013301800Je0845123013301800Ve0845123013301700Sa0000000000000000Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;49.493016,0.111435;Lu0900123013301800;Ma0845123013301800;Me0945123013301800;Je0845123013301800;Ve0845123013301700;Sa0000000000000000;Di0000000000000000;0900;1230;1330;1800;0845;1230;1330;1800;0945;1230;1330;1800;0845;1230;1330;1800;0845;1230;1330;1700;0000;0000;0000;0000;0000;0000;0000;0000
13807;10693;ARRADON;Immeuble Le Vinci;AlléeLéonard de Vinci;ARRADON;56610;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;Votre agence est ouverte uniquement sur rendez-vous l'après-midi.;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.645456,-2.813827;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
13807;00155;BELZ;6 rue du Couvent;;BELZ;56550;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;Votre agence est ouverte uniquement sur rendez-vous l'après-midi.;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.674203,-3.171317;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
13807;10630;QUIMPER PRAT MARIA;1, rue de la Liberté;;QUIMPER;29000;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015151800Ve0900123014001800Sa0900123000000000Di0000000000000000;Votre agence est ouverte uniquement sur rendez-vous l'après-midi.;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.982121,-4.102055;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015151800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1515;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
17807;00666;ONET LE CHATEAU;Rte d'Espalion;;ONET LE CHATEAU;12850;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;44.366019,2.587481;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
16607;00328;CASTELNAU LE LEZ AUBE ROUGE;ZA Aube Rouge;;CASTELNAU LE LEZ;34170;Lu0000000000000000Ma0845124513451745Me0845124513451745Je0845124515151745Ve0845124513451745Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.638745,3.925732;Lu0000000000000000;Ma0845124513451745;Me0845124513451745;Je0845124515151745;Ve0845124513451745;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0845;1245;1345;1745;0845;1245;1345;1745;0845;1245;1515;1745;0845;1245;1345;1745;0830;1245;0000;0000;0000;0000;0000;0000
10107;00352;MELUN NORD;8, ave du 31e Régimentt d'Infanterie;;MELUN;77000;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.54395,2.653472;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;00688;SARTHE BANQUE PRIVEE;25, Boulevard Louis Le Prince Ringuet;Bâtiment OXXO;LE MANS;72000;Lu0900123014001800Ma0900123014001800Me0900123014001800Je0900123014001800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;48.017811,0.151043;Lu0900123014001800;Ma0900123014001800;Me0900123014001800;Je0900123014001800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
13807;00174;PLOUHINEC;51 rue du Driasker;;PLOUHINEC;56680;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;Votre agence est ouverte uniquement sur rendez-vous l'après-midi.;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.69563,-3.246342;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
17807;00668;ALBI VAL DE CAUSSELS;2, rte de Millau;;ALBI;81000;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;Ouverture sur RDV :  Les Mardi Mercredi et Vendredi de 13:30 à 17:35  Le Jeudi de 14:30 à 17:35;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.931863,2.168246;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
16607;00332;ST JEAN DE VEDAS;2, Place Clara d'Anduze;Résidence VEDACIO;SAINT JEAN DE VEDAS;34430;Lu0000000000000000Ma0830123013301730Me0830123013301730Je0830123015001730Ve0830123013301730Sa0830124500000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.574974,3.829887;Lu0000000000000000;Ma0830123013301730;Me0830123013301730;Je0830123015001730;Ve0830123013301730;Sa0830124500000000;Di0000000000000000;0000;0000;0000;0000;0830;1230;1330;1730;0830;1230;1330;1730;0830;1230;1500;1730;0830;1230;1330;1730;0830;1245;0000;0000;0000;0000;0000;0000
10107;00356;DARNETAL;88, rue Sadi Carnot;;DARNETAL;76160;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;uniquement sur RDV les après-midi;BRED-Banque Populaire;https://www.bred.fr/;49.440724,1.145149;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
13807;10631;BAIE DE ST BRIEUC PROFESSIONNELS;1 rue Jules Verne;Cellule A;LANGUEUX;22360;Lu0900123014001800Ma0900123014001800Me0900123014001800Je0900123015301800Ve0900123014001800Sa0000000000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;48.496354,-2.727436;Lu0900123014001800;Ma0900123014001800;Me0900123014001800;Je0900123015301800;Ve0900123014001800;Sa0000000000000000;Di0000000000000000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1530;1800;0900;1230;1400;1800;0000;0000;0000;0000;0000;0000;0000;0000
13807;10634;AURAY REPUBLIQUE;47 Place de la République;;AURAY;56400;Lu0000000000000000Ma0900123014001800Me0900123014001800Je0900123015001800Ve0900123014001800Sa0900123000000000Di0000000000000000;;Banque Populaire Grand Ouest;https://www.bpgo.banquepopulaire.fr/;47.666381,-2.984218;Lu0000000000000000;Ma0900123014001800;Me0900123014001800;Je0900123015001800;Ve0900123014001800;Sa0900123000000000;Di0000000000000000;0000;0000;0000;0000;0900;1230;1400;1800;0900;1230;1400;1800;0900;1230;1500;1800;0900;1230;1400;1800;0900;1230;0000;0000;0000;0000;0000;0000
17807;00672;MAZAMET LA RICHARDE;RN 112 La Richarde;;MAZAMET;81200;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;Ouverture sur RDV :  Mardi, Mercredi et Vendredi de 13h30 à 17h35  le Jeudi de 14h30 à 17h35;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.497797,2.39582;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
17807;00704;EAUNES;1, pl de la Croix Blanche;;EAUNES;31600;Lu0000000000000000Ma0830121513301735Me0830121513301735Je0830121514301735Ve0830121513301735Sa0830123000000000Di0000000000000000;Ouverture sur RDV :  Mardi Mercredi et Vendredi de 13h30 à 17h35  le Jeudi de 14h30 à 17h35;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.425618,1.357726;Lu0000000000000000;Ma0830121513301735;Me0830121513301735;Je0830121514301735;Ve0830121513301735;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0830;1215;1330;1735;0830;1215;1330;1735;0830;1215;1430;1735;0830;1215;1330;1735;0830;1230;0000;0000;0000;0000;0000;0000
17807;00752;CARBONNE;35, pl de la République;;CARBONNE;31390;Lu0000000000000000Ma0000000013301735Me0000000000000000Je0830121500000000Ve0000000000000000Sa0830123000000000Di0000000000000000;Horaires d'ouverture sur RDV :  Le Mardi de 8:30 à 12:15  Le Mercredi et vendredi de 8:30 à 12:15 et de 13:30 à 17:35  Le Jeudi de 14:30 à 17:35;Banque Populaire Occitane;https://www.occitane.banquepopulaire.fr/;43.296998,1.224936;Lu0000000000000000;Ma0000000013301735;Me0000000000000000;Je0830121500000000;Ve0000000000000000;Sa0830123000000000;Di0000000000000000;0000;0000;0000;0000;0000;0000;1330;1735;0000;0000;0000;0000;0830;1215;0000;0000;0000;0000;0000;0000;0830;1230;0000;0000;0000;0000;0000;0000
16607;00338;NARBONNE ANATOLE FRANCE;110, ave Anatole France;;NARBONNE;11100;Lu0845123014001745Ma0845123014001745Me0845123014001745Je0845123015301745Ve0845123014001745Sa0000000000000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.189365,2.985996;Lu0845123014001745;Ma0845123014001745;Me0845123014001745;Je0845123015301745;Ve0845123014001745;Sa0000000000000000;Di0000000000000000;0845;1230;1400;1745;0845;1230;1400;1745;0845;1230;1400;1745;0845;1230;1530;1745;0845;1230;1400;1745;0000;0000;0000;0000;0000;0000;0000;0000
16607;00339;PERPIGNAN POLYGONE;131, bd Marius Berliet;;PERPIGNAN;66000;Lu0830120013301730Ma0830120013301730Me0830120013301730Je0830120015001730Ve0830120013301730Sa0000000000000000Di0000000000000000;Ouverture uniquement sur rendez-vous les jeudis après-midi;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;42.733098,2.891375;Lu0830120013301730;Ma0830120013301730;Me0830120013301730;Je0830120015001730;Ve0830120013301730;Sa0000000000000000;Di0000000000000000;0830;1200;1330;1730;0830;1200;1330;1730;0830;1200;1330;1730;0830;1200;1500;1730;0830;1200;1330;1730;0000;0000;0000;0000;0000;0000;0000;0000
16607;00340;MONTPELLIER CAMPUS;34, ave Emile Diacon;;MONTPELLIER;34000;Lu0915133014451845Ma0915133014451845Me0915133014451845Je0915133015451845Ve0915133000000000Sa0000000000000000Di0000000000000000;;Banque Populaire du Sud;https://www.sud.banquepopulaire.fr/;43.616544,3.880357;Lu0915133014451845;Ma0915133014451845;Me0915133014451845;Je0915133015451845;Ve0915133000000000;Sa0000000000000000;Di0000000000000000;0915;1330;1445;1845;0915;1330;1445;1845;0915;1330;1445;1845;0915;1330;1545;1845;0915;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000
10107;00363;MELUN VAUX;9-11, rte de Nangis;;MELUN;77000;Lu0000000000000000Ma0900130014001800Me0900130014001800Je1000130014001800Ve0900130014001800Sa0900130014001700Di0000000000000000;;BRED-Banque Populaire;https://www.bred.fr/;48.54123,2.674919;Lu0000000000000000;Ma0900130014001800;Me0900130014001800;Je1000130014001800;Ve0900130014001800;Sa0900130014001700;Di0000000000000000;0000;0000;0000;0000;0900;1300;1400;1800;0900;1300;1400;1800;1000;1300;1400;1800;0900;1300;1400;1800;0900;1300;1400;1700;0000;0000;0000;0000
